Date,Open,High,Low,Close,Volume,Market Cap
"Oct 23, 2017",6006.00,6075.59,5732.47,5930.32,"2,401,840,000","99,941,600,000"
"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,"2,034,630,000","100,438,000,000"
"Oct 21, 2017",5996.79,6194.88,5965.07,6031.60,"2,207,100,000","99,763,200,000"
"Oct 20, 2017",5708.11,6060.11,5627.23,6011.45,"2,354,430,000","94,947,900,000"
"Oct 19, 2017",5583.74,5744.35,5531.06,5708.52,"1,780,540,000","92,867,000,000"
"Oct 18, 2017",5603.82,5603.82,5151.44,5590.69,"2,399,270,000","93,190,200,000"
"Oct 17, 2017",5741.58,5800.35,5472.72,5605.51,"1,821,570,000","95,469,300,000"
"Oct 16, 2017",5687.57,5776.23,5544.21,5725.59,"2,008,070,000","94,559,000,000"
"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19,"1,976,040,000","97,011,900,000"
"Oct 14, 2017",5643.53,5837.70,5591.64,5831.79,"1,669,030,000","93,803,000,000"
"Oct 13, 2017",5464.16,5840.30,5436.85,5647.21,"3,615,480,000","90,812,400,000"
"Oct 12, 2017",4829.58,5446.91,4822.00,5446.91,"2,791,610,000","80,256,700,000"
"Oct 11, 2017",4789.25,4873.73,4751.63,4826.48,"1,222,280,000","79,578,200,000"
"Oct 10, 2017",4776.21,4922.17,4765.10,4781.99,"1,597,140,000","79,351,800,000"
"Oct 09, 2017",4614.52,4878.71,4564.25,4772.02,"1,968,740,000","76,656,500,000"
"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48,"1,313,870,000","73,575,400,000"
"Oct 07, 2017",4369.35,4443.88,4321.05,4426.89,"906,928,000","72,565,100,000"
"Oct 06, 2017",4324.46,4413.27,4320.53,4370.81,"1,069,940,000","71,810,600,000"
"Oct 05, 2017",4229.88,4362.64,4164.05,4328.41,"1,161,770,000","70,233,700,000"
"Oct 04, 2017",4319.37,4352.31,4210.42,4229.36,"1,116,770,000","71,712,500,000"
"Oct 03, 2017",4408.46,4432.47,4258.89,4317.48,"1,288,020,000","73,181,300,000"
"Oct 02, 2017",4395.81,4470.23,4377.46,4409.32,"1,431,730,000","72,963,200,000"
"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74,"1,208,210,000","72,047,300,000"
"Sep 30, 2017",4166.11,4358.43,4160.86,4338.71,"1,207,450,000","69,136,600,000"
"Sep 29, 2017",4171.62,4214.63,4039.29,4163.07,"1,367,050,000","69,219,200,000"
"Sep 28, 2017",4197.13,4279.31,4109.70,4174.73,"1,712,320,000","69,633,200,000"
"Sep 27, 2017",3892.94,4210.05,3884.82,4200.67,"1,686,880,000","64,579,200,000"
"Sep 26, 2017",3928.41,3969.89,3869.90,3892.35,"1,043,740,000","65,161,000,000"
"Sep 25, 2017",3681.58,3950.25,3681.58,3926.07,"1,374,210,000","61,061,100,000"
"Sep 24, 2017",3796.15,3796.15,3666.90,3682.84,"768,015,000","62,954,300,000"
"Sep 23, 2017",3629.92,3819.21,3594.58,3792.40,"928,114,000","60,190,000,000"
"Sep 22, 2017",3628.02,3758.27,3553.53,3630.70,"1,194,830,000","60,152,300,000"
"Sep 21, 2017",3901.47,3916.42,3613.63,3631.04,"1,411,480,000","64,677,600,000"
"Sep 20, 2017",3916.36,4031.39,3857.73,3905.95,"1,213,830,000","64,918,500,000"
"Sep 19, 2017",4073.79,4094.07,3868.87,3924.97,"1,563,980,000","67,520,300,000"
"Sep 18, 2017",3591.09,4079.23,3591.09,4065.20,"1,943,210,000","59,514,100,000"
"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88,"1,239,150,000","59,757,800,000"
"Sep 16, 2017",3637.75,3808.84,3487.79,3625.04,"1,818,400,000","60,271,600,000"
"Sep 15, 2017",3166.30,3733.45,2946.62,3637.52,"4,148,070,000","52,453,500,000"
"Sep 14, 2017",3875.37,3920.60,3153.86,3154.95,"2,716,310,000","64,191,600,000"
"Sep 13, 2017",4131.98,4131.98,3789.92,3882.59,"2,219,410,000","68,432,200,000"
"Sep 12, 2017",4168.88,4344.65,4085.22,4130.81,"1,864,530,000","69,033,400,000"
"Sep 11, 2017",4122.47,4261.67,4099.40,4161.27,"1,557,330,000","68,256,000,000"
"Sep 10, 2017",4229.34,4245.44,3951.04,4122.94,"1,679,090,000","70,018,100,000"
"Sep 09, 2017",4229.81,4308.82,4114.11,4226.06,"1,386,230,000","70,017,200,000"
"Sep 08, 2017",4605.16,4661.00,4075.18,4228.75,"2,700,890,000","76,220,200,000"
"Sep 07, 2017",4589.14,4655.04,4491.33,4599.88,"1,844,620,000","75,945,000,000"
"Sep 06, 2017",4376.59,4617.25,4376.59,4597.12,"2,172,100,000","72,418,700,000"
"Sep 05, 2017",4228.29,4427.84,3998.11,4376.53,"2,697,970,000","69,954,400,000"
"Sep 04, 2017",4591.63,4591.63,4108.40,4236.31,"2,987,330,000","75,955,500,000"
"Sep 03, 2017",4585.27,4714.08,4417.59,4582.96,"1,933,190,000","75,841,700,000"
"Sep 02, 2017",4901.42,4975.04,4469.24,4578.77,"2,722,140,000","81,060,600,000"
"Sep 01, 2017",4701.76,4892.01,4678.53,4892.01,"2,599,080,000","77,748,400,000"
"Aug 31, 2017",4555.59,4736.05,4549.40,4703.39,"1,944,930,000","75,322,300,000"
"Aug 30, 2017",4570.36,4626.52,4471.41,4565.30,"1,937,850,000","75,556,600,000"
"Aug 29, 2017",4389.21,4625.68,4352.13,4579.02,"2,486,080,000","72,553,800,000"
"Aug 28, 2017",4384.45,4403.93,4224.64,4382.66,"1,959,330,000","72,467,900,000"
"Aug 27, 2017",4345.10,4416.59,4317.29,4382.88,"1,537,460,000","71,809,200,000"
"Aug 26, 2017",4372.06,4379.28,4269.52,4352.40,"1,511,610,000","72,249,100,000"
"Aug 25, 2017",4332.82,4455.70,4307.35,4371.60,"1,727,970,000","71,595,100,000"
"Aug 24, 2017",4137.60,4376.39,4130.26,4334.68,"2,037,750,000","68,363,900,000"
"Aug 23, 2017",4089.01,4255.78,4078.41,4151.52,"2,369,820,000","67,553,000,000"
"Aug 22, 2017",3998.35,4128.76,3674.58,4100.52,"3,764,240,000","66,051,000,000"
"Aug 21, 2017",4090.48,4109.14,3988.60,4001.74,"2,800,890,000","67,567,100,000"
"Aug 20, 2017",4189.31,4196.29,4069.88,4087.66,"2,109,770,000","69,192,700,000"
"Aug 19, 2017",4137.75,4243.26,3970.55,4193.70,"2,975,820,000","68,333,100,000"
"Aug 18, 2017",4324.34,4370.13,4015.40,4160.62,"2,941,710,000","71,406,500,000"
"Aug 17, 2017",4384.44,4484.70,4243.71,4331.69,"2,553,360,000","72,389,100,000"
"Aug 16, 2017",4200.34,4381.23,3994.42,4376.63,"2,272,040,000","69,342,700,000"
"Aug 15, 2017",4326.99,4455.97,3906.18,4181.93,"3,258,050,000","71,425,500,000"
"Aug 14, 2017",4066.10,4325.13,3989.16,4325.13,"2,463,090,000","67,112,300,000"
"Aug 13, 2017",3880.04,4208.39,3857.80,4073.26,"3,159,090,000","64,034,100,000"
"Aug 12, 2017",3650.63,3949.92,3613.70,3884.71,"2,219,590,000","60,242,100,000"
"Aug 11, 2017",3373.82,3679.72,3372.12,3650.62,"2,021,190,000","55,668,000,000"
"Aug 10, 2017",3341.84,3453.45,3319.47,3381.28,"1,515,110,000","55,134,700,000"
"Aug 09, 2017",3420.40,3422.76,3247.67,3342.47,"1,468,960,000","56,424,900,000"
"Aug 08, 2017",3370.22,3484.85,3345.83,3419.94,"1,752,760,000","55,590,300,000"
"Aug 07, 2017",3212.78,3397.68,3180.89,3378.94,"1,482,280,000","52,987,300,000"
"Aug 06, 2017",3257.61,3293.29,3155.60,3213.94,"1,105,030,000","53,720,900,000"
"Aug 05, 2017",2897.63,3290.01,2874.83,3252.91,"1,945,700,000","47,778,200,000"
"Aug 04, 2017",2806.93,2899.33,2743.72,2895.89,"1,002,120,000","46,276,200,000"
"Aug 03, 2017",2709.56,2813.31,2685.14,2804.73,"804,797,000","44,666,400,000"
"Aug 02, 2017",2727.13,2762.53,2668.59,2710.67,"1,094,950,000","44,950,800,000"
"Aug 01, 2017",2871.30,2921.35,2685.61,2718.26,"1,324,670,000","47,321,800,000"
"Jul 31, 2017",2763.24,2889.62,2720.61,2875.34,"860,575,000","45,535,800,000"
"Jul 30, 2017",2724.39,2758.53,2644.85,2757.18,"705,943,000","44,890,700,000"
"Jul 29, 2017",2807.02,2808.76,2692.80,2726.45,"803,746,000","46,246,700,000"
"Jul 28, 2017",2679.73,2897.45,2679.73,2809.01,"1,380,100,000","44,144,400,000"
"Jul 27, 2017",2538.71,2693.32,2529.34,2671.78,"789,104,000","41,816,500,000"
"Jul 26, 2017",2577.77,2610.76,2450.80,2529.45,"937,404,000","42,455,000,000"
"Jul 25, 2017",2757.50,2768.08,2480.96,2576.48,"1,460,090,000","45,410,100,000"
"Jul 24, 2017",2732.70,2777.26,2699.19,2754.86,"866,474,000","44,995,600,000"
"Jul 23, 2017",2808.10,2832.18,2653.94,2730.40,"1,072,840,000","46,231,100,000"
"Jul 22, 2017",2668.63,2862.42,2657.71,2810.12,"1,177,130,000","43,929,600,000"
"Jul 21, 2017",2838.41,2838.41,2621.85,2667.76,"1,489,450,000","46,719,000,000"
"Jul 20, 2017",2269.89,2900.70,2269.89,2817.60,"2,249,260,000","37,356,800,000"
"Jul 19, 2017",2323.08,2397.17,2260.23,2273.43,"1,245,100,000","38,227,800,000"
"Jul 18, 2017",2233.52,2387.61,2164.77,2318.88,"1,512,450,000","36,749,400,000"
"Jul 17, 2017",1932.62,2230.49,1932.62,2228.41,"1,201,760,000","31,795,000,000"
