Date,Open,High,Low,Close,Volume,Market Cap
"Oct 23, 2017",295.10,295.75,277.57,286.95,"482,336,000","28,111,400,000"
"Oct 22, 2017",300.55,305.50,292.81,295.45,"327,387,000","28,624,800,000"
"Oct 21, 2017",303.57,303.93,291.77,300.19,"408,014,000","28,906,600,000"
"Oct 20, 2017",308.05,311.44,303.49,304.01,"396,673,000","29,326,300,000"
"Oct 19, 2017",314.54,316.71,305.83,308.09,"349,830,000","29,937,900,000"
"Oct 18, 2017",316.94,317.24,290.64,314.32,"606,114,000","30,160,500,000"
"Oct 17, 2017",333.48,333.48,311.79,317.08,"509,924,000","31,727,700,000"
"Oct 16, 2017",336.71,349.35,332.04,333.38,"692,885,000","32,029,200,000"
"Oct 15, 2017",339.53,342.72,320.43,336.60,"635,407,000","32,292,100,000"
"Oct 14, 2017",338.85,347.98,334.70,339.63,"516,562,000","32,222,400,000"
"Oct 13, 2017",304.08,348.60,299.66,338.76,"1,304,360,000","28,911,100,000"
"Oct 12, 2017",303.50,309.15,303.29,304.14,"527,557,000","28,851,200,000"
"Oct 11, 2017",301.18,304.39,299.10,303.46,"264,146,000","28,626,300,000"
"Oct 10, 2017",297.60,306.15,293.17,299.87,"359,706,000","28,281,400,000"
"Oct 09, 2017",308.67,309.31,288.19,297.39,"559,467,000","29,328,300,000"
"Oct 08, 2017",311.06,312.54,308.03,308.61,"293,167,000","29,550,900,000"
"Oct 07, 2017",308.89,313.13,304.98,311.12,"342,205,000","29,340,400,000"
"Oct 06, 2017",295.15,308.84,294.95,308.59,"318,664,000","28,031,100,000"
"Oct 05, 2017",292.77,298.04,288.84,295.86,"253,747,000","27,800,400,000"
"Oct 04, 2017",292.75,299.39,290.89,292.66,"257,906,000","27,794,100,000"
"Oct 03, 2017",297.48,300.11,288.13,292.46,"321,680,000","28,238,500,000"
"Oct 02, 2017",302.48,302.92,294.58,297.48,"339,443,000","28,708,500,000"
"Oct 01, 2017",301.55,303.19,295.06,302.34,"306,185,000","28,615,200,000"
"Sep 30, 2017",291.48,303.96,291.11,301.46,"332,439,000","27,655,200,000"
"Sep 29, 2017",299.12,299.92,279.77,291.47,"541,375,000","28,375,900,000"
"Sep 28, 2017",306.47,307.20,295.47,299.15,"501,894,000","29,068,700,000"
"Sep 27, 2017",287.02,308.01,286.82,306.47,"550,244,000","27,219,400,000"
"Sep 26, 2017",292.35,293.75,287.02,287.44,"345,801,000","27,720,000,000"
"Sep 25, 2017",282.22,293.51,281.88,292.33,"483,161,000","26,755,500,000"
"Sep 24, 2017",286.21,292.95,278.13,282.48,"571,411,000","27,129,900,000"
"Sep 23, 2017",264.60,286.17,261.12,286.17,"450,934,000","25,077,100,000"
"Sep 22, 2017",258.11,270.54,256.22,264.31,"430,081,000","24,458,400,000"
"Sep 21, 2017",283.26,286.61,255.02,258.58,"601,266,000","26,836,000,000"
"Sep 20, 2017",282.01,290.89,278.05,283.74,"421,404,000","26,712,400,000"
"Sep 19, 2017",293.66,295.77,274.48,282.80,"646,909,000","27,809,300,000"
"Sep 18, 2017",252.23,293.50,252.23,293.50,"1,127,750,000","23,881,200,000"
"Sep 17, 2017",245.85,257.00,235.24,251.75,"427,452,000","23,272,500,000"
"Sep 16, 2017",250.87,262.59,238.22,246.52,"711,737,000","23,742,600,000"
"Sep 15, 2017",215.22,258.65,195.03,250.46,"1,935,700,000","20,364,900,000"
"Sep 14, 2017",276.59,280.84,213.91,213.91,"1,184,590,000","26,166,100,000"
"Sep 13, 2017",291.12,291.12,260.61,277.11,"921,692,000","27,535,700,000"
"Sep 12, 2017",294.63,311.19,287.23,291.46,"753,144,000","27,861,800,000"
"Sep 11, 2017",289.75,300.69,286.69,294.53,"571,307,000","27,394,400,000"
"Sep 10, 2017",294.06,294.76,268.97,288.75,"698,326,000","27,797,200,000"
"Sep 09, 2017",296.17,299.89,287.22,294.40,"528,621,000","27,990,500,000"
"Sep 08, 2017",329.64,329.64,285.16,296.50,"1,098,780,000","31,147,200,000"
"Sep 07, 2017",333.52,333.52,319.94,329.43,"718,624,000","31,507,500,000"
"Sep 06, 2017",313.80,334.66,313.49,334.34,"1,058,830,000","29,639,100,000"
"Sep 05, 2017",297.57,318.57,268.29,312.99,"1,551,050,000","28,100,000,000"
